"ascensionLevel","totalRuns","wins","winRate","avgDeckSize","avgRelicCount","deadliestEncounter"
0,54,9,16.7,23.3,9.5,"Ceremonial Beast (Boss)"
1,21,6,28.6,25.8,12.0,"Knowledge Demon (Boss)"
2,8,5,62.5,31.3,14.0,"Thieving Hopper (Weak)"
3,13,4,30.8,27.8,11.7,"Knowledge Demon (Boss)"
4,11,5,45.5,30.5,13.2,"Test Subject (Boss)"
5,24,4,16.7,28.1,9.9,"Knowledge Demon (Boss)"
6,15,3,20.0,24.2,10.1,"Knowledge Demon (Boss)"
7,6,3,50.0,29.2,14.0,"Bygone Effigy (Elite)"
8,17,3,17.6,24.5,7.6,"Spiny Toad (Monster)"
9,20,2,10.0,21.1,6.3,"The Kin (Boss)"
10,5,1,20.0,26.0,9.4,"Knowledge Demon (Boss)"
