"card","pickedCount","skippedCount","upgradeRate","winRateWithCard","synergyScore","avgDeckSizeWhenPicked"
"Dualcast",100,0,0.0,20.0,10.0,24.5
"Ascenders Bane",87,0,0.0,18.4,9.2,25.1
"Claw",79,18,0.0,39.2,19.6,30.4
"Turbo",64,15,0.0,34.4,17.2,32.3
"Coolheaded",59,46,0.0,18.6,9.3,25.2
"Beam Cell",58,17,0.0,36.2,18.1,29.9
"Prepared",55,7,0.0,36.4,18.2,31.8
"Boost Away",51,38,0.0,47.1,23.6,31.6
"Hologram",46,34,0.0,26.1,13.1,25.8
"Survivor",44,0,0.0,31.8,15.9,29.0
"Lightning Rod",44,23,0.0,34.1,17.1,28.0
"Ball Lightning",38,29,0.0,21.1,10.6,27.3
"Charge Battery",38,39,0.0,44.7,22.4,30.6
"Go For The Eyes",36,25,0.0,38.9,19.4,32.3
"Cold Snap",35,25,0.0,22.9,11.4,26.0
"Hotfix",34,32,0.0,35.3,17.6,28.7
"Acrobatics",30,4,0.0,56.7,28.4,34.3
"Uproar",30,35,0.0,33.3,16.6,27.6
"Snakebite",30,21,0.0,36.7,18.4,32.9
"Hailstorm",30,15,0.0,26.7,13.3,28.1
"Focused Strike",29,33,0.0,34.5,17.3,28.5
"Compact",28,6,0.0,28.6,14.3,30.6
"Adrenaline",28,0,0.0,78.6,39.3,46.5
"Greed",28,0,0.0,21.4,10.7,29.3
"White Noise",28,4,0.0,28.6,14.3,28.0
"Dagger Throw",27,12,0.0,48.1,24.1,33.9
"Flick Flack",27,18,0.0,40.7,20.4,34.7
"Piercing Wail",27,11,0.0,59.3,29.6,33.1
"Poisoned Stab",25,24,0.0,36.0,18.0,34.2
"Ftl",25,23,0.0,32.0,16.0,32.1
"Backflip",24,18,0.0,41.7,20.9,35.6
"Subroutine",24,22,0.0,45.8,22.9,35.4
"Ricochet",23,24,0.0,39.1,19.6,32.1
"Sweeping Beam",23,32,0.0,26.1,13.1,26.5
"Capacitor",23,20,0.0,43.5,21.8,27.0
"Calculated Gamble",23,2,0.0,43.5,21.8,34.8
"Clumsy",22,0,0.0,36.4,18.2,27.8
"Untouchable",22,10,0.0,27.3,13.7,28.3
"Loop",22,17,0.0,36.4,18.2,29.1
"Scrape",21,17,0.0,52.4,26.2,35.8
"Deadly Poison",21,11,0.0,23.8,11.9,33.5
"Echo Form",21,3,0.0,57.1,28.6,34.9
"Smokestack",21,8,0.0,42.9,21.4,31.3
"Bodyguard",20,0,0.0,20.0,10.0,23.6
"Glasswork",20,15,0.0,20.0,10.0,26.1
"Overclock",20,9,0.0,50.0,25.0,35.0
"Noxious Fumes",19,9,0.0,52.6,26.3,36.3
"Blade Dance",19,21,0.0,36.8,18.4,31.6
"Unleash",19,0,0.0,21.1,10.6,23.2
"Chaos",19,13,0.0,21.1,10.6,25.6
"Leap",19,33,0.0,21.1,10.6,27.8
"Expose",19,7,0.0,36.8,18.4,33.1
"Null",19,16,0.0,36.8,18.4,28.2
"Spinner",19,4,0.0,31.6,15.8,28.3
"Barrage",19,24,0.0,42.1,21.1,28.4
"Momentum Strike",18,37,0.0,33.3,16.6,26.3
"Double Energy",18,4,0.0,22.2,11.1,26.6
"Boot Sequence",18,10,0.0,38.9,19.4,25.7
"Storm",17,18,0.0,29.4,14.7,28.1
"Venerate",17,0,0.0,11.8,5.9,21.9
"Dodge And Roll",17,24,0.0,52.9,26.4,33.2
"Iteration",17,24,0.0,47.1,23.6,36.9
"Grave Warden",16,9,0.0,25.0,12.5,24.3
"Chill",16,7,0.0,37.5,18.8,27.9
"Darkness",16,8,0.0,37.5,18.8,29.4
"Rocket Punch",16,17,0.0,56.3,28.1,30.2
"All For One",16,7,0.0,56.3,28.1,43.6
"Thunder",16,16,0.0,31.3,15.7,29.2
"Feral",16,15,0.0,31.3,15.7,25.8
"Gunk Up",15,45,0.0,26.7,13.3,27.5
"Tempest",15,10,0.0,13.3,6.7,26.3
"Tactician",15,5,0.0,40.0,20.0,29.5
"Falling Star",15,0,0.0,13.3,6.7,22.5
"Negative Pulse",15,14,0.0,60.0,30.0,28.5
"Sucker Punch",15,26,0.0,26.7,13.3,30.1
"Flatten",14,12,0.0,14.3,7.2,26.2
"Glacier",14,15,0.0,21.4,10.7,25.5
"Crush Under",14,8,0.0,35.7,17.9,27.9
"Mad Science",14,0,0.0,78.6,39.3,33.8
"Fight Through",14,8,0.0,14.3,7.2,27.8
"Defy",13,9,0.0,46.2,23.1,28.0
"Trash To Treasure",13,2,0.0,61.5,30.8,41.8
"Hidden Daggers",13,2,0.0,46.2,23.1,37.7
"Modded",13,0,0.0,30.8,15.4,29.2
"Anticipate",12,16,0.0,66.7,33.4,34.1
"Leading Strike",12,23,0.0,41.7,20.9,33.3
"Dagger Spray",12,28,0.0,8.3,4.2,27.1
"Wisp",12,13,0.0,50.0,25.0,25.6
"Glow",12,8,0.0,25.0,12.5,23.7
"Shining Strike",12,5,0.0,25.0,12.5,30.0
"Maul",12,0,0.0,100.0,50.0,31.8
"Spoils Map",12,0,0.0,0.0,0.0,18.8
"Deflect",11,18,0.0,72.7,36.4,34.1
"Genetic Algorithm",11,6,0.0,36.4,18.2,26.4
"Astral Pulse",11,11,0.0,36.4,18.2,24.4
"Bloodletting",11,2,0.0,18.2,9.1,23.5
"Bubble Bubble",11,7,0.0,36.4,18.2,32.8
"Refract",11,19,0.0,27.3,13.7,28.8
"Compile Driver",10,40,0.0,20.0,10.0,24.8
"Shadow Shield",10,15,0.0,20.0,10.0,27.6
"Reave",10,8,0.0,20.0,10.0,22.1
"Haze",10,3,0.0,40.0,20.0,35.0
"Black Hole",10,6,0.0,40.0,20.0,29.4
"Rainbow",10,7,0.0,10.0,5.0,26.1
"Ice Lance",10,5,0.0,50.0,25.0,31.7
"Fear",9,15,0.0,22.2,11.1,24.7
"Backstab",9,10,0.0,55.6,27.8,32.2
"Crescent Spear",9,10,0.0,11.1,5.5,23.0
"Snap",9,9,0.0,0.0,0.0,23.1
"Haunt",9,7,0.0,33.3,16.6,25.0
"Tesla Coil",9,24,0.0,22.2,11.1,27.8
"Leg Sweep",9,1,0.0,44.4,22.2,35.4
"Accelerant",9,6,0.0,66.7,33.4,36.1
"Buffer",9,1,0.0,55.6,27.8,28.9
"Flak Cannon",9,2,0.0,11.1,5.5,30.0
"Scavenge",8,11,0.0,25.0,12.5,27.3
"Creative Ai",8,1,0.0,25.0,12.5,27.9
"Footwork",8,17,0.0,62.5,31.3,38.8
"Flanking",8,1,0.0,100.0,50.0,32.5
"Pull Aggro",8,18,0.0,12.5,6.3,21.4
"Sow",8,15,0.0,12.5,6.3,20.6
"Right Hand Hand",8,5,0.0,37.5,18.8,25.3
"Metamorphosis",8,0,0.0,37.5,18.8,28.3
"Bulk Up",8,16,0.0,62.5,31.3,44.8
"Outbreak",8,16,0.0,50.0,25.0,33.5
"Whirlwind",8,0,0.0,50.0,25.0,24.0
"Relax",8,0,0.0,25.0,12.5,30.8
"Escape Plan",8,1,0.0,75.0,37.5,35.0
"Strangle",7,10,0.0,71.4,35.7,34.6
"Tools Of The Trade",7,0,0.0,71.4,35.7,37.0
"High Five",7,12,0.0,14.3,7.2,26.7
"Defile",7,17,0.0,0.0,0.0,22.0
"Sleight Of Flesh",7,7,0.0,57.1,28.6,29.3
"Well Laid Plans",7,4,0.0,14.3,7.2,28.0
"Reboot",7,7,0.0,57.1,28.6,31.7
"Defragment",7,1,0.0,42.9,21.4,30.6
"Gather Light",7,6,0.0,0.0,0.0,21.7
"Anger",7,5,0.0,71.4,35.7,30.1
"Hidden Cache",7,11,0.0,42.9,21.4,22.9
"Shadow Step",7,4,0.0,14.3,7.2,31.0
"Assassinate",7,2,0.0,42.9,21.4,33.4
"Squash",7,0,0.0,42.9,21.4,33.0
"Skim",7,17,0.0,42.9,21.4,27.4
"Coolant",7,2,0.0,57.1,28.6,31.1
"Begone",7,6,0.0,42.9,21.4,28.4
"Cloak And Dagger",6,30,0.0,66.7,33.4,29.3
"Neurosurge",6,2,0.0,16.7,8.3,27.3
"Poke",6,23,0.0,16.7,8.3,24.5
"Memento Mori",6,7,0.0,33.3,16.6,33.8
"Abrasive",6,2,0.0,50.0,25.0,32.5
"Scourge",6,16,0.0,16.7,8.3,28.8
"Capture Spirit",6,3,0.0,16.7,8.3,25.5
"Sunder",6,29,0.0,16.7,8.3,25.3
"Know Thy Place",6,11,0.0,16.7,8.3,20.8
"Speedster",6,14,0.0,33.3,16.6,33.7
"Thunderclap",6,2,0.0,16.7,8.3,26.2
"Sword Boomerang",6,4,0.0,33.3,16.6,28.5
"Perfected Strike",6,6,0.0,16.7,8.3,28.5
"Afterimage",6,2,0.0,83.3,41.6,33.5
"Corrosive Wave",6,4,0.0,50.0,25.0,38.0
"Envenom",6,3,0.0,50.0,25.0,34.0
"Master Planner",6,2,0.0,50.0,25.0,35.0
"Patter",6,6,0.0,16.7,8.3,29.7
"Hand Trick",6,6,0.0,66.7,33.4,33.7
"Machine Learning",6,3,0.0,50.0,25.0,30.3
"Signal Boost",6,4,0.0,83.3,41.6,53.2
"Reflex",6,3,0.0,33.3,16.6,28.3
"The Scythe",6,2,0.0,16.7,8.3,28.2
"Apparition",6,0,0.0,50.0,25.0,33.0
"Energy Surge",5,5,0.0,80.0,40.0,30.4
"Tracking",5,4,0.0,40.0,20.0,36.4
"Accuracy",5,15,0.0,80.0,40.0,34.0
"Production",5,10,0.0,40.0,20.0,30.4
"Burst",5,1,0.0,80.0,40.0,34.8
"Drain Power",5,15,0.0,60.0,30.0,27.2
"Graveblast",5,9,0.0,20.0,10.0,25.8
"Blight Strike",5,14,0.0,20.0,10.0,25.6
"Rattle",5,6,0.0,0.0,0.0,19.4
"Shatter",5,2,0.0,20.0,10.0,24.8
"Exterminate",5,0,0.0,40.0,20.0,29.0
"Spite",5,2,0.0,40.0,20.0,23.4
"Thrash",5,0,0.0,60.0,30.0,31.4
"Ultimate Strike",5,8,0.0,40.0,20.0,27.6
"Spoils Of Battle",5,15,0.0,0.0,0.0,24.4
"Solar Strike",5,11,0.0,0.0,0.0,23.4
"Mirage",5,3,0.0,80.0,40.0,35.4
"Photon Cut",5,8,0.0,20.0,10.0,19.6
"Manifest Authority",5,8,0.0,60.0,30.0,29.8
"Dying Star",5,0,0.0,60.0,30.0,25.6
"Blur",5,8,0.0,60.0,30.0,34.6
"Supercritical",5,2,0.0,60.0,30.0,29.6
"Summon Forth",5,1,0.0,0.0,0.0,25.0
"Oblivion",4,2,0.0,50.0,25.0,27.3
"Gang Up",4,4,0.0,75.0,37.5,27.0
"Death March",4,3,0.0,25.0,12.5,23.3
"Bone Shards",4,7,0.0,50.0,25.0,28.8
"Believe In You",4,3,0.0,75.0,37.5,28.5
"Debilitate",4,4,0.0,50.0,25.0,29.8
"Invoke",4,11,0.0,0.0,0.0,24.5
"Sic Em",4,5,0.0,0.0,0.0,25.8
"Friendship",4,4,0.0,0.0,0.0,25.8
"Fan Of Knives",4,3,0.0,50.0,25.0,28.5
"Gamma Blast",4,2,0.0,25.0,12.5,27.5
"Orbit",4,12,0.0,75.0,37.5,32.8
"Collision Course",4,18,0.0,25.0,12.5,28.5
"Rupture",4,5,0.0,25.0,12.5,27.5
"Pommel Strike",4,5,0.0,50.0,25.0,30.8
"Taunt",4,2,0.0,25.0,12.5,20.0
"Dark Shackles",4,9,0.0,25.0,12.5,29.3
"Stomp",4,2,0.0,50.0,25.0,29.5
"Reflect",4,3,0.0,0.0,0.0,19.8
"Peck",4,0,0.0,25.0,12.5,28.8
"Regret",4,0,0.0,100.0,50.0,61.0
"Panache",4,11,0.0,0.0,0.0,34.3
"Infernal Blade",4,1,0.0,25.0,12.5,29.5
"Devour Life",4,3,0.0,0.0,0.0,25.5
"Severance",4,2,0.0,0.0,0.0,25.8
"Malaise",4,2,0.0,50.0,25.0,30.8
"The Hunt",4,4,0.0,75.0,37.5,34.8
"Largesse",4,2,0.0,100.0,50.0,29.8
"Big Bang",4,0,0.0,25.0,12.5,31.3
"Alignment",4,4,0.0,25.0,12.5,27.3
