"character","ascension","card","cardId","eloRating","peakRating","gamesPlayed","wins","losses","winRate"
"Silent",8,"Adrenaline","CARD.ADRENALINE",1667.8,1667.8,18,17,1,94.4
"Silent",2,"Piercing Wail","CARD.PIERCING_WAIL",1586.5,1586.5,5,5,0,100.0
"Ironclad",0,"Maul","CARD.MAUL",1584.6,1584.6,6,6,0,100.0
"Silent",0,"Flanking","CARD.FLANKING",1580.6,1580.6,5,5,0,100.0
"Regent",1,"Black Hole","CARD.BLACK_HOLE",1579.0,1579.0,5,5,0,100.0
"Defect",5,"All For One","CARD.ALL_FOR_ONE",1576.5,1576.5,7,6,1,85.7
"Silent",0,"Piercing Wail","CARD.PIERCING_WAIL",1570.9,1570.9,11,8,3,72.7
"Silent",6,"Dodge And Roll","CARD.DODGE_AND_ROLL",1569.9,1569.9,3,3,0,100.0
"Defect",4,"Uproar","CARD.UPROAR",1568.0,1568.0,4,4,0,100.0
"Defect",8,"Smokestack","CARD.SMOKESTACK",1567.5,1597.3,6,5,1,83.3
"Regent",4,"Begone","CARD.BEGONE",1566.5,1566.5,3,3,0,100.0
"Regent",4,"Manifest Authority","CARD.MANIFEST_AUTHORITY",1566.5,1566.5,3,3,0,100.0
"Defect",7,"Cold Snap","CARD.COLD_SNAP",1562.5,1562.5,3,3,0,100.0
"Regent",1,"Maul","CARD.MAUL",1561.7,1561.7,4,4,0,100.0
"Silent",2,"Blade Dance","CARD.BLADE_DANCE",1561.4,1561.4,3,3,0,100.0
"Defect",9,"Null","CARD.NULL",1559.5,1559.5,3,3,0,100.0
"Defect",9,"Apparition","CARD.APPARITION",1559.5,1559.5,3,3,0,100.0
"Silent",1,"Mirage","CARD.MIRAGE",1558.9,1558.9,3,3,0,100.0
"Silent",2,"Prepared","CARD.PREPARED",1555.7,1555.7,3,3,0,100.0
"Silent",7,"Anticipate","CARD.ANTICIPATE",1555.0,1555.0,3,3,0,100.0
"Defect",8,"Ice Lance","CARD.ICE_LANCE",1553.6,1553.6,2,2,0,100.0
"Defect",8,"Storm","CARD.STORM",1553.6,1553.6,2,2,0,100.0
"Silent",2,"Dagger Throw","CARD.DAGGER_THROW",1553.1,1553.1,3,3,0,100.0
"Defect",2,"Beam Cell","CARD.BEAM_CELL",1553.0,1553.0,5,4,1,80.0
"Regent",1,"Largesse","CARD.LARGESSE",1552.7,1552.7,3,3,0,100.0
"Defect",5,"Regret","CARD.REGRET",1552.2,1552.2,3,3,0,100.0
"Defect",5,"Signal Boost","CARD.SIGNAL_BOOST",1552.2,1552.2,3,3,0,100.0
"Defect",5,"Bulk Up","CARD.BULK_UP",1552.2,1552.2,3,3,0,100.0
"Defect",5,"Ignition","CARD.IGNITION",1552.2,1552.2,3,3,0,100.0
"Regent",1,"Dying Star","CARD.DYING_STAR",1552.0,1552.0,3,3,0,100.0
"Silent",0,"Cloak And Dagger","CARD.CLOAK_AND_DAGGER",1551.0,1551.0,3,3,0,100.0
"Defect",4,"Beam Cell","CARD.BEAM_CELL",1550.4,1550.4,5,4,1,80.0
"Regent",1,"Know Thy Place","CARD.KNOW_THY_PLACE",1549.8,1549.8,3,3,0,100.0
"Regent",1,"Shining Strike","CARD.SHINING_STRIKE",1548.0,1548.0,3,3,0,100.0
"Defect",10,"Maul","CARD.MAUL",1547.7,1547.7,2,2,0,100.0
"Regent",1,"Crush Under","CARD.CRUSH_UNDER",1547.1,1547.1,5,4,1,80.0
"Regent",4,"Crush Under","CARD.CRUSH_UNDER",1546.3,1546.3,2,2,0,100.0
"Regent",4,"Largesse","CARD.LARGESSE",1546.3,1546.3,2,2,0,100.0
"Regent",4,"Orbit","CARD.ORBIT",1546.3,1546.3,2,2,0,100.0
"Defect",5,"Echo Form","CARD.ECHO_FORM",1546.2,1546.2,5,4,1,80.0
"Defect",2,"Claw","CARD.CLAW",1545.9,1551.2,7,5,2,71.4
"Defect",4,"Hotfix","CARD.HOTFIX",1545.5,1553.4,5,4,1,80.0
"Defect",5,"Claw","CARD.CLAW",1545.1,1545.1,14,9,5,64.3
"Defect",7,"Echo Form","CARD.ECHO_FORM",1544.9,1544.9,2,2,0,100.0
"Defect",1,"Wish","CARD.WISH",1544.9,1544.9,3,3,0,100.0
"Defect",10,"Energy Surge","CARD.ENERGY_SURGE",1544.7,1544.7,2,2,0,100.0
"Defect",7,"Dualcast","CARD.DUALCAST",1544.1,1544.1,2,2,0,100.0
"Defect",7,"Ascenders Bane","CARD.ASCENDERS_BANE",1544.1,1544.1,2,2,0,100.0
