"encounter","type","totalFought","totalSurvived","survivalRate","avgDamage","timesEndedRun","byActBreakdown"
"Lagavulin Matriarch (Boss)","boss",32,19,59.4,30.8,13,"Act 1: 59% (19/32)"
"Knowledge Demon (Boss)","boss",37,23,62.2,40.0,14,"Act 2: 62% (23/37)"
"Test Subject (Boss)","boss",22,15,68.2,45.5,7,"Act 3: 68% (15/22)"
"Ceremonial Beast (Boss)","boss",30,22,73.3,32.2,8,"Act 1: 73% (22/30)"
"The Insatiable (Boss)","boss",29,22,75.9,26.7,7,"Act 2: 76% (22/29)"
"The Kin (Boss)","boss",30,23,76.7,26.4,7,"Act 1: 77% (23/30)"
"Doormaker (Boss)","boss",19,15,78.9,36.1,4,"Act 3: 79% (15/19)"
"Kaiser Crab (Boss)","boss",27,22,81.5,34.4,5,"Act 2: 81% (22/27)"
"Bygone Effigy (Elite)","elite",44,36,81.8,27.7,8,"Act 1: 82% (36/44)"
"Vantom (Boss)","boss",24,20,83.3,27.4,4,"Act 1: 83% (20/24)"
"Spiny Toad (Monster)","monster",20,17,85.0,13.6,3,"Act 2: 85% (17/20)"
"Overgrowth Crawlers","monster",14,12,85.7,8.4,2,"Act 1: 86% (12/14)"
"Waterfall Giant (Boss)","boss",22,19,86.4,32.9,3,"Act 1: 86% (19/22)"
"Queen (Boss)","boss",23,20,87.0,29.1,3,"Act 3: 87% (20/23)"
"Slumbering Beetle (Monster)","monster",24,21,87.5,18.4,3,"Act 2: 88% (21/24)"
"Phantasmal Gardeners (Elite)","elite",48,42,87.5,19.6,6,"Act 1: 88% (42/48)"
"Soul Fysh (Boss)","boss",26,23,88.5,27.6,3,"Act 1: 88% (23/26)"
"Entomancer (Elite)","elite",70,62,88.6,17.0,8,"Act 2: 89% (62/70)"
"Ovicopter (Monster)","monster",18,16,88.9,7.3,2,"Act 2: 89% (16/18)"
"Ruby Raiders (Monster)","monster",19,17,89.5,11.1,2,"Act 1: 89% (17/19)"
"Infested Prisms (Elite)","elite",64,58,90.6,21.7,6,"Act 2: 91% (58/64)"
"Construct Menagerie (Monster)","monster",11,10,90.9,15.6,1,"Act 3: 91% (10/11)"
"Soul Nexus (Elite)","elite",35,32,91.4,17.6,3,"Act 3: 91% (32/35)"
"The Obscura (Monster)","monster",26,24,92.3,15.9,2,"Act 2: 92% (24/26)"
"Tunneler (Monster)","monster",14,13,92.9,6.7,1,"Act 2: 93% (13/14)"
"Slimes (Monster)","monster",14,13,92.9,8.6,1,"Act 1: 93% (13/14)"
"Terror Eel (Elite)","elite",44,41,93.2,22.4,3,"Act 1: 93% (41/44)"
"Fabricator (Monster)","monster",15,14,93.3,4.4,1,"Act 3: 93% (14/15)"
"Phrog Parasite (Elite)","elite",46,43,93.5,14.5,3,"Act 1: 93% (43/46)"
"Louse Progenitor (Monster)","monster",18,17,94.4,10.3,1,"Act 2: 94% (17/18)"
"Living Fog (Monster)","monster",19,18,94.7,9.1,1,"Act 1: 95% (18/19)"
"Decimillipede (Elite)","elite",59,56,94.9,20.3,3,"Act 2: 95% (56/59)"
"Exoskeletons (Monster)","monster",20,19,95.0,9.2,1,"Act 2: 95% (19/20)"
