"relicPair","coOccurrences","winsTogether","winRate"
"Eternal Feather + Precarious Shears",2,2,100.0
"Amethyst Aubergine + Eternal Feather",2,2,100.0
"Amethyst Aubergine + Vambrace",2,2,100.0
"Eternal Feather + Paels Claw",3,3,100.0
"Bag Of Preparation + Eternal Feather",2,2,100.0
"Akabeko + Eternal Feather",3,3,100.0
"Candelabra + Eternal Feather",2,2,100.0
"Eternal Feather + Ornamental Fan",2,2,100.0
"Eternal Feather + Lizard Tail",2,2,100.0
"Akabeko + Ornamental Fan",2,2,100.0
"Lizard Tail + Ornamental Fan",2,2,100.0
"Gorget + Pocketwatch",2,2,100.0
"Gorget + Mummified Hand",2,2,100.0
"Eternal Feather + Gorget",4,4,100.0
"Blood Vial + Pocketwatch",3,3,100.0
"Lantern + Pocketwatch",2,2,100.0
"Eternal Feather + Pocketwatch",2,2,100.0
"Oddly Smooth Stone + Pocketwatch",2,2,100.0
"Blood Vial + Eternal Feather",4,4,100.0
"Centennial Puzzle + Eternal Feather",4,4,100.0
"Mummified Hand + Oddly Smooth Stone",2,2,100.0
"Massive Scroll + War Paint",2,2,100.0
"Game Piece + Massive Scroll",2,2,100.0
"Amethyst Aubergine + Girya",2,2,100.0
"Amethyst Aubergine + War Paint",2,2,100.0
"Amethyst Aubergine + Pendulum",2,2,100.0
"Girya + Oddly Smooth Stone",2,2,100.0
"Touch Of Orobas + War Paint",2,2,100.0
"Game Piece + Touch Of Orobas",2,2,100.0
"Oddly Smooth Stone + Touch Of Orobas",3,3,100.0
"Unceasing Top + War Paint",2,2,100.0
"Game Piece + War Paint",3,3,100.0
"Claws + War Paint",2,2,100.0
"Pendulum + War Paint",5,5,100.0
"Strawberry + Unceasing Top",2,2,100.0
"Oddly Smooth Stone + Strawberry",4,4,100.0
"Claws + Strawberry",2,2,100.0
"Pendulum + Strawberry",5,5,100.0
"Pendulum + Unceasing Top",3,3,100.0
"Oddly Smooth Stone + Pendulum",3,3,100.0
"Claws + Razor Tooth",2,2,100.0
"Intimidating Helmet + Pendulum",2,2,100.0
"Golden Pearl + Potion Belt",2,2,100.0
"Golden Pearl + Orrery",2,2,100.0
"Golden Pearl + Permafrost",3,3,100.0
"Golden Pearl + Pendulum",2,2,100.0
"Gambling Chip + Golden Pearl",2,2,100.0
"Golden Pearl + Venerable Tea Set",3,3,100.0
"Orrery + Vajra",2,2,100.0
"Pendulum + Vajra",4,4,100.0
