"relic","pickedCount","winRateWithRelic","avgFinalDeckCountWithRelic"
"Venerable Tea Set",35,48.6,14.3
"Blood Vial",31,29.0,13.9
"Whetstone",31,45.2,14.8
"War Paint",31,48.4,15.1
"Centennial Puzzle",30,40.0,13.9
"Lantern",30,46.7,13.6
"Gorget",29,65.5,16.2
"Regal Pillow",29,51.7,16.0
"Oddly Smooth Stone",27,51.9,14.8
"Leafy Poultice",26,26.9,11.2
"Vajra",26,50.0,15.5
"Potion Belt",25,48.0,13.7
"Strike Dummy",24,41.7,14.8
"Strawberry",23,43.5,13.1
"Bag Of Marbles",23,43.5,14.7
"Permafrost",22,45.5,13.9
"Red Mask",22,45.5,14.9
"Happy Flower",22,50.0,14.6
"Pendulum",21,66.7,13.7
"Bronze Scales",20,35.0,12.8
"Festive Popper",20,50.0,15.2
"Amethyst Aubergine",19,52.6,14.2
"Sword Of Stone",19,5.3,9.7
"Scroll Boxes",19,21.1,9.5
"Tuning Fork",19,21.1,11.5
"Bag Of Preparation",18,38.9,14.7
"Golden Pearl",18,38.9,13.7
"Anchor",18,38.9,16.2
"Yummy Cookie",18,50.0,13.5
"New Leaf",18,22.2,9.6
"Book Of Five Rings",18,22.2,13.1
"Eternal Feather",17,64.7,13.5
"Ornamental Fan",17,47.1,14.1
"Forgotten Soul",17,52.9,17.8
"Juzu Bracelet",17,41.2,13.7
"Sparkling Rouge",17,64.7,14.4
"Horn Cleat",16,43.8,13.8
"Meal Ticket",16,18.8,12.9
"Cursed Pearl",16,18.8,10.3
"Candelabra",15,20.0,12.6
"Nunchaku",15,26.7,13.1
"Paels Claw",14,57.1,12.7
"Arcane Scroll",14,7.1,9.1
"Letter Opener",14,35.7,12.9
"Tiny Mailbox",14,28.6,11.9
"Gremlin Horn",13,23.1,12.6
"Pen Nib",13,46.2,15.2
"Intimidating Helmet",13,38.5,13.0
"Vambrace",12,33.3,12.3
"Akabeko",12,50.0,14.3
"Bellows",12,58.3,16.3
"Pantograph",12,41.7,15.2
"Lead Paperweight",12,16.7,7.9
"Ripple Basin",12,50.0,13.8
"Fresnel Lens",12,25.0,10.6
"Shuriken",11,36.4,11.2
"Bowler Hat",11,45.5,13.7
"Silver Crucible",11,45.5,10.3
"Reptile Trinket",11,45.5,13.0
"Data Disk",11,63.6,16.0
"Large Capsule",10,10.0,9.4
"Gambling Chip",10,50.0,15.0
"Pear",10,50.0,15.6
"Touch Of Orobas",10,30.0,14.0
"Unceasing Top",10,60.0,14.4
"Miniature Cannon",10,30.0,10.9
"Stone Cracker",10,40.0,15.2
"Planisphere",9,33.3,12.0
"Paels Tooth",9,22.2,14.3
"Mercury Hourglass",9,33.3,14.6
"Fake Venerable Tea Set",9,22.2,15.8
"Lost Coffer",9,33.3,10.9
"Parrying Shield",9,33.3,12.6
"Beating Remnant",9,44.4,12.8
"Petrified Toad",9,11.1,11.2
"Neows Bones",9,33.3,11.9
"Fake Happy Flower",8,25.0,15.5
"Orichalcum",8,12.5,12.9
"Fake Orichalcum",8,25.0,16.0
"Game Piece",8,50.0,12.1
"Kusarigama",8,37.5,15.3
"Vexing Puzzlebox",8,25.0,14.8
"Mango",8,75.0,16.8
"Cloak Clasp",8,37.5,13.4
"Chandelier",8,37.5,13.3
"Pomander",8,0.0,5.6
"Lizard Tail",7,42.9,12.9
"Chosen Cheese",7,28.6,9.3
"Fake Blood Vial",7,14.3,15.4
"Unsettling Lamp",7,57.1,13.0
"Girya",7,42.9,13.0
"Kifuda",7,42.9,15.7
"Toxic Egg",7,42.9,13.0
"Lucky Fysh",7,42.9,13.6
"Stone Calendar",7,71.4,14.9
"Lasting Candy",7,85.7,17.7
