"encounter","totalFights","wins","losses","winRate","avgDamagePerFight"
"Sludge Spinner (Weak)",67,67,0,100.0,3.30
"Seapunk (Weak)",68,68,0,100.0,3.18
"Corpse Slugs (Weak)",69,69,0,100.0,6.97
"Two Tailed Rats (Monster)",22,22,0,100.0,8.23
"Corpse Slugs (Monster)",21,21,0,100.0,8.90
"Tunneler (Weak)",73,73,0,100.0,8.79
"Bowlbugs (Weak)",52,52,0,100.0,13.29
"Turret Operator (Weak)",41,41,0,100.0,5.51
"Devoted Sculptor (Weak)",45,45,0,100.0,4.76
"Slimed Berserker (Monster)",13,13,0,100.0,6.23
"Mecha Knight (Elite)",33,33,0,100.0,18.64
"Owl Magistrate (Monster)",11,11,0,100.0,7.00
"Slimes (Weak)",70,70,0,100.0,3.24
"Fossil Stalker (Monster)",19,19,0,100.0,9.11
"Gremlin Merc (Monster)",25,25,0,100.0,9.72
"Toadpoles (Monster)",14,14,0,100.0,2.64
"Thieving Hopper (Weak)",65,65,0,100.0,11.17
"Exoskeletons (Weak)",53,53,0,100.0,6.19
"Bowlbugs (Monster)",14,14,0,100.0,13.14
"Globe Head (Monster)",10,10,0,100.0,6.40
"The Lost And Forgotten (Monster)",13,13,0,100.0,13.77
"Fuzzy Wurm Crawler (Weak)",72,72,0,100.0,1.24
"Flyconid (Monster)",17,17,0,100.0,8.12
"Cubex Construct (Monster)",24,24,0,100.0,3.96
"Mawler (Monster)",12,12,0,100.0,4.25
"Fogmog (Monster)",22,22,0,100.0,7.68
"Shrinker Beetle (Weak)",70,70,0,100.0,1.26
"Nibbits (Monster)",17,17,0,100.0,13.76
"Vine Shambler (Monster)",20,20,0,100.0,8.95
"Inklets (Monster)",16,16,0,100.0,9.81
"Byrdonis (Elite)",41,41,0,100.0,16.41
"Haunted Ship (Monster)",12,12,0,100.0,8.42
"Scrolls Of Biting (Weak)",42,42,0,100.0,4.50
"Slithering Strangler (Monster)",25,25,0,100.0,11.64
"Punch Construct (Monster)",17,17,0,100.0,3.53
"Sewer Clam (Monster)",22,22,0,100.0,3.50
"Scrolls Of Biting (Monster)",9,9,0,100.0,4.56
"Mytes (Monster)",20,20,0,100.0,12.85
"Axebots (Monster)",8,8,0,100.0,6.88
"Frog Knight (Monster)",6,6,0,100.0,6.83
"Seapunk (Monster)",8,8,0,100.0,14.88
"Nibbits (Weak)",65,64,1,98.5,3.31
"Toadpoles (Weak)",64,63,1,98.4,3.94
"Knights (Elite)",28,27,1,96.4,19.25
"Chompers (Monster)",25,24,1,96.0,14.28
"Cultists (Monster)",25,24,1,96.0,7.60
"Hunter Killer (Monster)",23,22,1,95.7,15.22
"Snapping Jaxfruit (Monster)",22,21,1,95.5,14.36
"Decimillipede (Elite)",61,58,3,95.1,20.13
"Exoskeletons (Monster)",20,19,1,95.0,9.20
"Skulking Colony (Elite)",40,38,2,95.0,19.00
"Living Fog (Monster)",19,18,1,94.7,9.05
"Louse Progenitor (Monster)",19,18,1,94.7,9.79
"Fabricator (Monster)",15,14,1,93.3,4.40
"Tunneler (Monster)",14,13,1,92.9,6.71
"Slimes (Monster)",14,13,1,92.9,8.64
"The Obscura (Monster)",26,24,2,92.3,15.88
"Soul Nexus (Elite)",36,33,3,91.7,17.58
"Phrog Parasite (Elite)",47,43,4,91.5,14.74
"Terror Eel (Elite)",46,42,4,91.3,22.70
"Construct Menagerie (Monster)",11,10,1,90.9,15.64
"Infested Prisms (Elite)",65,59,6,90.8,21.60
"Ruby Raiders (Monster)",19,17,2,89.5,11.05
"Soul Fysh (Boss)",28,25,3,89.3,26.57
"Entomancer (Elite)",72,64,8,88.9,16.92
"Ovicopter (Monster)",18,16,2,88.9,7.33
"Phantasmal Gardeners (Elite)",50,44,6,88.0,19.34
"Queen (Boss)",24,21,3,87.5,28.17
"Slumbering Beetle (Monster)",24,21,3,87.5,18.42
"Waterfall Giant (Boss)",22,19,3,86.4,32.86
"Overgrowth Crawlers",14,12,2,85.7,8.43
"Spiny Toad (Monster)",20,17,3,85.0,13.55
"Vantom (Boss)",24,20,4,83.3,27.42
"Bygone Effigy (Elite)",44,36,8,81.8,27.70
"Kaiser Crab (Boss)",29,23,6,79.3,33.72
"Doormaker (Boss)",19,15,4,78.9,36.11
"The Kin (Boss)",30,23,7,76.7,26.37
"The Insatiable (Boss)",29,22,7,75.9,26.69
"Ceremonial Beast (Boss)",30,22,8,73.3,32.17
"Test Subject (Boss)",22,15,7,68.2,45.50
"Knowledge Demon (Boss)",37,23,14,62.2,40.00
"Lagavulin Matriarch (Boss)",32,19,13,59.4,30.78
